music		Data/music/st4.bor
bossmusic	data/music/st4boss.bor
background	data/bgs/st8/back.gif
panel		data/bgs/st8/st8.gif
frontpanel	data/bgs/st8/front.gif
noslow		0
order		a
settime		0
notime		1
direction	right












#-------1



wait
at      0



group   4 4
at      0





spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Screaming_Mimi
map      1
coords	350 160
at	0



spawn	Screaming_Mimi
map      1
coords	350 210
at	0


spawn	Screaming_Mimi
map      1
coords	350 160
at	0



spawn	Screaming_Mimi
map      2
coords	350 210
at	0


spawn	Screaming_Mimi
map      2
coords	350 160
at	0



spawn	Screaming_Mimi
map      1
coords	350 210
at	0








wait
at      100


group   8 8
at      100


spawn	Embryo
coords	-30 240
at	100



spawn	Master_of_the_Deads
coords	-30 175
at	100

spawn	Master_of_the_Deads
coords	350 -175
at	100

spawn	Master_of_the_Deads
coords	350 230
at	100

spawn	Phantom
coords	-30 240
at	100




spawn	Phantom
coords	-30 240
at	100

spawn	ghoul
coords	-30 175
at	100

spawn	ghoul
coords	350 230
at	100

spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100

spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100

spawn	Embryo
coords	-30 240
at	100



spawn	Master_of_the_Deads
coords	-30 175
at	100

spawn	Master_of_the_Deads
coords	350 -175
at	100

spawn	Master_of_the_Deads
coords	350 230
at	100

spawn	Phantom
coords	-30 240
at	100




spawn	Phantom
coords	-30 240
at	100

spawn	ghoul
coords	-30 175
at	100

spawn	ghoul
coords	350 230
at	100

spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100

spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100

spawn	Embryo
coords	-30 240
at	100



spawn	Master_of_the_Deads
coords	-30 175
at	100

spawn	Master_of_the_Deads
coords	350 -175
at	100

spawn	Master_of_the_Deads
coords	350 230
at	100

spawn	Phantom
coords	-30 240
at	100




spawn	Phantom
coords	-30 240
at	100

spawn	ghoul
coords	-30 175
at	100

spawn	ghoul
coords	350 230
at	100

spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100

spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100


spawn	zombi4
coords	350 230
at	100

spawn	Embryo
coords	-30 240
at	100



spawn	Master_of_the_Deads
coords	-30 175
at	100

spawn	Master_of_the_Deads
coords	350 -175
at	100

spawn	Master_of_the_Deads
coords	350 230
at	100

spawn	Phantom
coords	-30 240
at	100




