music		Data/music/st5.bor
background	data/bgs/st21/back.gif
panel		data/bgs/st21/st21.gif
order           a
settime         0
notime          1
direction       right








spawn   st21f
flip    1
coords  0 243
at      0


spawn   rain
flip    1
coords  0 244
at      0


spawn   rain
flip    1
coords  40 100
at      0


spawn   rain
flip    1
coords  320 244
at      0


spawn   rain
flip    1
coords  360 100
at      0


spawn   rain
flip    1
coords  640 244
at      0


spawn   rain
flip    1
coords  660 100
at      0


spawn   rain
flip    1
coords  960 244
at      0


spawn   rain
flip    1
coords  1000 100
at      0


spawn   rain
flip    1
coords  1280 244
at      0


spawn   rain
flip    1
coords  1320 100
at      0


spawn   rain
flip    1
coords  1600 244
at      0


spawn   rain
flip    1
coords  1640 100
at      0


spawn   rain
flip    1
coords  1920 244
at      0


spawn   rain
flip    1
coords  1960 100
at      0


spawn   rain
flip    1
coords  2240 244
at      0


spawn   rain
flip    1
coords  2280 100
at      0


spawn   rain
flip    1
coords  2560 244
at      0


spawn   rain
flip    1
coords  2600 100
at      0


spawn   rel1
flip    1
coords  0 0
at      1


spawn   rel2
flip    1
coords  0 0
at      1050









wait 5 5
at 50


spawn	Great_Horror
coords	350 220
at	50

spawn	Maiden_Specter
coords	350 220
at	50

spawn	embryo
coords	350 220
at	50

spawn	phantom
coords	350 220
at	50

spawn	Maiden_Specter
coords	350 220
at	50

spawn	embryo
coords	350 220
at	50

spawn	phantom
coords	350 220
at	50

spawn	Maiden_Specter
coords	350 220
at	50

spawn	embryo
coords	350 220
at	50

spawn	phantom
coords	350 220
at	50

spawn	embryo
coords	350 220
at	50

spawn	phantom
coords	350 220
at	50

spawn	Maiden_Specter
coords	350 220
at	50

spawn	embryo
coords	350 220
at	50

spawn	phantom
coords	350 220
at	50


################################################################################


wait 
at 500

group 3 3
at 500

spawn	embryo
coords	350 220
at	500

spawn	phantom
coords	350 220
at	500

spawn	Maiden_Specter
coords	350 220
at	500

spawn	embryo
coords	350 220
at	500

spawn	phantom
coords	350 220
at	500

spawn	Maiden_Specter
coords	350 220
at	500

spawn	Maiden_Specter
coords	350 220
at	500

spawn	Maiden_Specter
coords	350 220
at	50

spawn	Maiden_Specter
coords	350 220
at	500

spawn	Maiden_Specter
coords	350 220
at	500

##############################################################################

wait at
1000

group 8 8
at 1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	800

spawn	Maiden_Specter
coords	350 220
at	1000

spawn	Maiden_Specter
coords	350 220
at	1000

#####################################################################

wait
at 1400

group 5 5
at 1400


spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400
spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400
spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400
spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400
spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

spawn	embryo
coords	350 220
at	1400

spawn	phantom
coords	350 220
at	1400

#############################################################################

wait 
at 1600

group 5 5

spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	-60 220
at	1600

spawn	Maiden_Specter
coords	350 220
at	1600

spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	350 220
at	1600

