music		Data/music/st6.bor
bossmusic	data/music/st6boss.bor
background	data/bgs/st7/back.gif
panel		data/bgs/st7/st7.gif
order           a
settime         0
notime          1
direction       right
spawn1  80 60 300  
spawn2  40 70 300








spawn   ghostxx
flip    1
coords  300 243
at      0




spawn   rel3
flip    1
coords  -184 0
at      0


spawn   rain
flip    1
coords  -480 244
at      0


spawn   rain
flip    1
coords  -800 244
at      0





spawn   rain
flip    1
coords  -480 100
at      0


spawn   rain
flip    1
coords  -800 100
at      0






spawn   Hell_Fire_2
flip    1
coords  -400 180
at      0


spawn   Hell_Fire_2
flip    1
coords  -400 230
at      0



spawn   Hell_Fire_2
flip    1
coords  -500 180
at      30


spawn   Hell_Fire_2
flip    1
coords  -500 230
at      30


spawn   Hell_Fire_2
flip    1
coords  -600 160
at      10


spawn   Hell_Fire_2
flip    1
coords  -600 210
at      10



spawn   Hell_Fire_2
flip    1
coords  -700 160
at      40


spawn   Hell_Fire_2
flip    1
coords  -700 210
at      40



spawn   Evil_Spirit
flip    1
coords  -940 200
at      0


spawn   Evil_Spirit
flip    1
coords  -990 170
at      10


spawn   Evil_Spirit
flip    1
coords  -990 230
at      20





#-------1

wait
at      50


group   3 3
at      50


spawn	Born_Dead
map      2
coords	-20 190
at	50


spawn	Born_Dead
map      2
coords	-30 210
at	50


spawn	Walker
coords	-50 170
at	50


spawn	Walker
coords	-80 230
at	50


spawn	Born_Dead
map      2
coords	-30 210
at	50


spawn	Walker
coords	-50 170
at	50


spawn	Walker
coords	-80 230
at	50


spawn	Born_Dead
map      2
coords	-30 210
at	50


spawn	Walker
coords	-50 170
at	50


spawn	Walker
coords	-80 230
at	50


spawn	zombi4
coords	-80 230
at	50

###############################################################




wait
at      130


group   7 7
at      130


spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130

spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130

spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130
spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130
spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130
spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130

spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130

spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
item    Magik_Book_Blue
coords	-80 210
at	130

###############################################################



wait
at      300



group   10 10
at      300

spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130
spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130
spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130




spawn	Slime_Monster
coords	-30 230
at	300

spawn	ghoul
coords	-30 180
at	300



spawn	Hound_Zombi
coords	400 200
at	300


spawn	Hound_Zombi
coords	430 220
at	300


spawn	Hanging_Corpse
2pspawn   1
coords	350 190
at	300


spawn	Hanging_Corpse
2pspawn   1
coords	350 220
at	300

spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130


spawn	walker
coords	-50 180
at	130


spawn	ghoul
coords	-80 210
at	130
spawn	Born_dead
coords	350 200
at	130


spawn	zombi4
coords	380 210
at	130

