music		Data/music/st2.bor
bossmusic	data/music/st2boss.bor
background	data/bgs/st2/st2.gif
panel		data/bgs/st2/st2.gif
order           a
settime         0
notime          1
direction       left
spawn1  80 60 300  
spawn2  40 70 300






#-------1

wait
at      0


group   4 4
at      0


spawn	New_Born_Dead
coords	350 180
at	0


spawn	New_Born_Dead
coords	380 210
at	0


spawn	New_Born_Dead
coords	-50 180
at	0


spawn	New_Born_Dead
coords	-80 210
at	0



spawn	Body_Eater
coords	-30 180
at	0


spawn	Body_Eater
coords	-30 210
at	0


spawn	Body_Eater
coords	-50 180
at	0


spawn	Body_Eater
coords	-80 210
at	0




wait
at      120


group   4 4
at      120


spawn	Master_of_the_Deads
coords	350 180
at	120


spawn	Master_of_the_Deads
coords	380 210
at	120


spawn	Master_of_the_Deads
coords	-50 180
at	120


spawn	Master_of_the_Deads
coords	-80 210
at	120



wait
at      300





spawn	New_Born_Dead
coords	400 200
at	300


spawn	New_Born_Dead
coords	430 220
at	300


spawn	Maiden_Specter
coords	-30 230
at	300

spawn	Maiden_Specter
coords	-30 180
at	300


spawn	Master_of_the_Deads
2pspawn   1
coords	350 190
at	300


spawn	Master_of_the_Deads
2pspawn   1
coords	350 220
at	300



#-------2


spawn   Chair
flip    0
item    Blue_Orb
coords  -50 170
at      400


spawn   Chair
2pitem    Blue_Orb
coords  -70 220
at      400


spawn   Chair
flip    0
item    Magik_Book_Blue
coords  -100 170
at      400





wait
at      600


group   4 4
at      600


spawn	Maiden_Specter
coords	-30 240
at	600

spawn	Maiden_Specter
coords	-30 170
at	600



spawn	Maiden_Specter
coords	350 190
at	600


spawn	Maiden_Specter
coords	350 210
at	600





spawn	Maiden_Specter
2pspawn   1
coords	-30 240
at	600


spawn	Maiden_Specter
2pspawn   1
coords	-30 170
at	600





wait
at      700



spawn	Maiden_Specter
coords	350 170
at	700


spawn	Maiden_Specter
coords	350 190
at	700


spawn	Master_of_the_Deads
coords	350 210
at	700


spawn	Master_of_the_Deads
coords	350 230
at	700


spawn	Maiden_Specter
2pspawn   1
coords	-30 240
at	700

spawn	Master_of_the_Deads
2pspawn   1
coords	-30 170
at	700






wait
at      850



spawn	Hound_Zombi
coords	350 170
at	850


