music		Data/music/st6.bor
bossmusic	data/music/st6boss.bor
background	data/bgs/st6/back.gif
panel		data/bgs/st6/st6.gif
order           a
settime         0
notime          1
direction       left
spawn1  80 60 300  
spawn2  40 70 300



wall    0 244 2550 2590 2900 2900 150 500

wall    0 180 2060 2085 2170 2140 70 500

wall    0 165 1050 1050 1121 1121 70 500

wall    0 215 1050 1080 1140 1140 70 500



spawn   ghostxx
flip    1
coords  300 243
at      0




spawn   rel3
flip    1
coords  -184 0
at      0


spawn   rain
flip    1
coords  -480 244
at      0


spawn   rain
flip    1
coords  -800 244
at      0





spawn   rain
flip    1
coords  -480 100
at      0


spawn   rain
flip    1
coords  -800 100
at      0






spawn   Hell_Fire_2
flip    1
coords  -400 180
at      0


spawn   Hell_Fire_2
flip    1
coords  -400 230
at      0



spawn   Hell_Fire_2
flip    1
coords  -500 180
at      30


spawn   Hell_Fire_2
flip    1
coords  -500 230
at      30


spawn   Hell_Fire_2
flip    1
coords  -600 160
at      10


spawn   Hell_Fire_2
flip    1
coords  -600 210
at      10



spawn   Hell_Fire_2
flip    1
coords  -700 160
at      40


spawn   Hell_Fire_2
flip    1
coords  -700 210
at      40



spawn   Evil_Spirit
flip    1
coords  -940 200
at      0


spawn   Evil_Spirit
flip    1
coords  -990 170
at      10


spawn   Evil_Spirit
flip    1
coords  -990 230
at      20





#-------1

wait
at      50


group   4 4
at      50


spawn	Born_Dead
map      2
coords	-20 190
at	50


spawn	Born_Dead
map      2
coords	-30 210
at	50


spawn	Walker
coords	-50 170
at	50


spawn	Walker
coords	-80 230
at	50





wait
at      130


group   4 4
at      130


spawn	Embryo
coords	350 200
at	130


spawn	Embryo
coords	380 210
at	130


spawn	Master_of_the_Deads
coords	-50 180
at	130


spawn	Master_of_the_Deads
coords	-80 210
at	130



wait
at      300



group   4 4
at      300



spawn	Maiden_Specter
coords	-30 230
at	300

spawn	Maiden_Specter
coords	-30 180
at	300



spawn	Hound_Zombi
